국가명,금액
미국 USD,"1,462.57"
유럽연합 EUR,"1,462.57"
일본 JPY (100엔),911.88
중국 CNY,188.04
홍콩 HKD,170.14
대만 TWD,41.45
영국 GBP,"1,754.62"
오만 OMR,"3,430.82"
캐나다 CAD,980.01
스위스 CHF,"1,557.57"
스웨덴 SEK,128.84
호주 AUD,911.62
뉴질랜드 NZD,830.38
체코 CZK,57.79
칠레 CLP,1.46
튀르키예 TRY,38.60
몽골 MNT,0.39
이스라엘 ILS,348.96
덴마크 DKK,196.08
노르웨이 NOK,125.36
사우디아라비아 SAR,351.93
쿠웨이트 KWD,"4,321.19"
바레인 BHD,"3,503.43"
아랍에미리트 AED,359.62
요르단 JOD,"1,864.49"
이집트 EGP,27.32
태국 THB,40.30
싱가포르 SGD,"1,025.11"
말레이시아 MYR,316.50
인도네시아 IDR 100,8.67
카타르 QAR,362.39
카자흐스탄 KZT,2.73
브루나이 BND,"1,025.11"
인도 INR,15.73
파키스탄 PKR,4.76
방글라데시 BDT,11.05
필리핀 PHP,23.52
멕시코 MXN,67.68
브라질 BRL,243.46
베트남 VND 100,5.36
남아프리카 공화국 ZAR,75.93
러시아 RUB,13.97
헝가리 HUF,3.66
폴란드 PLN,340.45
스리랑카 LKR,4.47
알제리 DZD,9.95
케냐 KES,10.24
콜롬비아 COP,0.31
탄자니아 TZS,0.49
네팔 NPR,9.85
루마니아 RON,293.85
리비아 LYD,278.48
마카오 MOP,165.09
미얀마 MMK,0.63
에티오피아 ETB,11.04
우즈베키스탄 UZS,0.10
캄보디아 KHR,0.32
피지 FJD,603.26
